[2025-10-06 01:55:04.215] <Wally>    (in) : name
[2025-10-06 02:00:25.929] <Wally>    (in) : play W E8
[2025-10-06 02:00:25.929] <Wally>    (in) : play W E6
[2025-10-06 02:00:25.930] <Wally>    (in) : play B E5
[2025-10-06 02:00:25.930] <Wally>    (in) : play B E4
[2025-10-06 02:00:25.930] <Wally>    (in) : play W E3
[2025-10-06 02:00:25.930] <Wally>    (in) : play B E2
[2025-10-06 02:00:25.930] <Wally>    (in) : play B E1
[2025-10-06 02:00:25.930] <Wally>    (in) : play W F9
[2025-10-06 02:00:25.930] <Wally>    (in) : play W F8
[2025-10-06 02:00:25.931] <Wally>    (in) : play B F7
[2025-10-06 02:00:25.931] <Wally>    (in) : play W F6
[2025-10-06 02:00:25.931] <Wally>    (in) : play B F5
[2025-10-06 02:00:25.931] <Wally>    (in) : play W F4
[2025-10-06 02:00:25.931] <Wally>    (in) : play B F3
[2025-10-06 02:00:25.931] <Wally>    (in) : play B F1
[2025-10-06 02:00:25.931] <Wally>    (in) : play W G8
[2025-10-06 02:00:25.932] <Wally>    (in) : play B G7
[2025-10-06 02:00:25.933] <Wally>    (in) : play W G6
[2025-10-06 02:00:25.933] <Wally>    (in) : play W G5
[2025-10-06 02:00:25.934] <Wally>    (in) : play B G3
[2025-10-06 02:00:25.934] <Wally>    (in) : play B G1
[2025-10-06 02:00:25.934] <Wally>    (in) : play B H9
[2025-10-06 02:00:25.934] <Wally>    (in) : play W H8
[2025-10-06 02:00:25.934] <Wally>    (in) : play W H7
[2025-10-06 02:00:25.934] <Wally>    (in) : play W H6
[2025-10-06 02:00:25.934] <Wally>    (in) : play W H5
[2025-10-06 02:00:25.934] <Wally>    (in) : play W H4
[2025-10-06 02:00:25.935] <Wally>    (in) : play B H2
[2025-10-06 02:00:25.935] <Wally>    (in) : play B J8
[2025-10-06 02:00:25.935] <Wally>    (in) : play B J6
[2025-10-06 02:00:25.935] <Wally>    (in) : play B J5
[2025-10-06 02:00:25.935] <Wally>    (in) : play B J4
[2025-10-06 02:00:25.948] <Wally>   (out) : =
[2025-10-06 02:00:25.948] <Wally>   (out) : 
[2025-10-06 02:00:25.948] <Wally>   (out) : =
[2025-10-06 02:00:25.948] <Wally>   (out) : 
[2025-10-06 02:00:25.949] <Wally>   (out) : =
[2025-10-06 02:00:25.949] <Wally>   (out) : 
[2025-10-06 02:00:25.949] <Wally>   (out) : =
[2025-10-06 02:00:25.949] <Wally>   (out) : 
[2025-10-06 02:00:25.949] <Wally>   (out) : =
[2025-10-06 02:00:25.949] <Wally>   (out) : 
[2025-10-06 02:00:25.949] <Wally>   (out) : =
[2025-10-06 02:00:25.949] <Wally>   (out) : 
[2025-10-06 02:00:25.949] <Wally>   (out) : =
[2025-10-06 02:00:25.949] <Wally>   (out) : 
[2025-10-06 02:00:25.949] <Wally>   (out) : =
[2025-10-06 02:00:25.950] <Wally>   (out) : 
[2025-10-06 02:00:25.950] <Wally>   (out) : =
[2025-10-06 02:00:25.950] <Wally>   (out) : 
[2025-10-06 02:00:25.950] <Wally>   (out) : =
[2025-10-06 02:00:25.950] <Wally>   (out) : 
[2025-10-06 02:00:25.950] <Wally>   (out) : =
[2025-10-06 02:00:25.950] <Wally>   (out) : 
[2025-10-06 02:00:25.950] <Wally>   (out) : =
[2025-10-06 02:00:25.950] <Wally>   (out) : 
[2025-10-06 02:00:25.950] <Wally>   (out) : =
[2025-10-06 02:00:25.950] <Wally>   (out) : 
[2025-10-06 02:00:25.950] <Wally>   (out) : =
[2025-10-06 02:00:25.951] <Wally>   (out) : 
[2025-10-06 02:00:25.951] <Wally>   (out) : =
[2025-10-06 02:00:25.951] <Wally>   (out) : 
[2025-10-06 02:00:25.951] <Wally>   (out) : =
[2025-10-06 02:00:25.951] <Wally>   (out) : 
[2025-10-06 02:00:25.951] <Wally>   (out) : =
[2025-10-06 02:00:25.951] <Wally>   (out) : 
[2025-10-06 02:00:25.951] <Wally>   (out) : =
[2025-10-06 02:00:25.951] <Wally>   (out) : 
[2025-10-06 02:00:25.951] <Wally>   (out) : =
[2025-10-06 02:00:25.951] <Wally>   (out) : 
[2025-10-06 02:00:25.951] <Wally>   (out) : =
[2025-10-06 02:00:25.952] <Wally>   (out) : 
[2025-10-06 02:00:25.952] <Wally>   (out) : =
[2025-10-06 02:00:25.952] <Wally>   (out) : 
[2025-10-06 02:00:25.952] <Wally>   (out) : =
[2025-10-06 02:00:25.952] <Wally>   (out) : 
[2025-10-06 02:00:25.952] <Wally>   (out) : =
[2025-10-06 02:00:25.952] <Wally>   (out) : 
[2025-10-06 02:00:25.952] <Wally>   (out) : =
[2025-10-06 02:00:25.952] <Wally>   (out) : 
[2025-10-06 02:00:25.952] <Wally>   (out) : =
[2025-10-06 02:00:25.952] <Wally>   (out) : 
[2025-10-06 02:00:25.953] <Wally>   (out) : =
[2025-10-06 02:00:25.953] <Wally>   (out) : 
[2025-10-06 02:00:25.953] <Wally>   (out) : =
[2025-10-06 02:00:25.953] <Wally>   (out) : 
[2025-10-06 02:00:25.953] <Wally>   (out) : =
[2025-10-06 02:00:25.953] <Wally>   (out) : 
[2025-10-06 02:00:25.953] <Wally>   (out) : =
[2025-10-06 02:00:25.953] <Wally>   (out) : 
[2025-10-06 02:00:25.953] <Wally>   (out) : =
[2025-10-06 02:00:25.953] <Wally>   (out) : 
[2025-10-06 02:00:25.954] <Wally>   (out) : =
[2025-10-06 02:00:25.954] <Wally>   (out) : 
[2025-10-06 02:00:25.954] <Wally>   (out) : =
[2025-10-06 02:00:25.954] <Wally>   (out) : 
[2025-10-06 02:00:25.954] <Wally>   (out) : =
[2025-10-06 02:00:25.954] <Wally>   (out) : 
[2025-10-06 02:00:25.954] <Wally>   (out) : =
[2025-10-06 02:00:25.954] <Wally>   (out) : 
[2025-10-06 02:00:25.954] <Wally>   (out) : =
[2025-10-06 02:00:25.954] <Wally>   (out) : 
[2025-10-06 02:00:25.954] <Wally>   (out) : =
[2025-10-06 02:00:25.954] <Wally>   (out) : 
[2025-10-06 02:00:25.955] <Wally>   (out) : =
[2025-10-06 02:00:25.955] <Wally>   (out) : 
[2025-10-06 02:00:25.955] <Wally>   (out) : =
[2025-10-06 02:00:25.955] <Wally>   (out) : 
[2025-10-06 02:00:25.955] <Wally>   (out) : =
[2025-10-06 02:00:25.955] <Wally>   (out) : 
[2025-10-06 02:00:25.955] <Wally>   (out) : =
[2025-10-06 02:00:25.955] <Wally>   (out) : 
[2025-10-06 02:00:25.955] <Wally>   (out) : =
[2025-10-06 02:00:25.955] <Wally>   (out) : 
[2025-10-06 02:00:25.955] <Wally>   (out) : =
[2025-10-06 02:00:25.955] <Wally>   (out) : 
[2025-10-06 02:00:25.955] <Wally>   (out) : =
[2025-10-06 02:00:25.955] <Wally>   (out) : 
[2025-10-06 02:00:25.955] <Wally>   (out) : =
[2025-10-06 02:00:25.955] <Wally>   (out) : 
[2025-10-06 02:00:25.956] <Wally>   (out) : =
[2025-10-06 02:00:25.956] <Wally>   (out) : 
[2025-10-06 02:00:25.956] <Wally>   (out) : =
[2025-10-06 02:00:25.956] <Wally>   (out) : 
[2025-10-06 02:00:25.956] <Wally>   (out) : =
[2025-10-06 02:00:25.956] <Wally>   (out) : 
[2025-10-06 02:00:25.956] <Wally>   (out) : =
[2025-10-06 02:00:25.956] <Wally>   (out) : 
[2025-10-06 02:00:25.956] <Wally>   (out) : =
[2025-10-06 02:00:25.956] <Wally>   (out) : 
[2025-10-06 02:00:25.956] <Wally>   (out) : =
[2025-10-06 02:00:25.956] <Wally>   (out) : 
[2025-10-06 02:00:25.956] <Wally>   (out) : =
[2025-10-06 02:00:25.956] <Wally>   (out) : 
[2025-10-06 02:00:25.956] <Wally>   (out) : =
[2025-10-06 02:00:25.956] <Wally>   (out) : 
[2025-10-06 02:00:25.957] <Wally>   (out) : =
[2025-10-06 02:00:25.957] <Wally>   (out) : 
[2025-10-06 02:00:25.957] <Wally>   (out) : =
[2025-10-06 02:00:25.957] <Wally>   (out) : 
[2025-10-06 02:00:25.957] <Wally>   (out) : =
[2025-10-06 02:00:25.957] <Wally>   (out) : 
[2025-10-06 02:00:25.957] <Wally>   (out) : =
[2025-10-06 02:00:25.957] <Wally>   (out) : 
[2025-10-06 02:00:25.957] <Wally>   (out) : =
[2025-10-06 02:00:25.957] <Wally>   (out) : 
[2025-10-06 02:00:25.964] <Wally>    (in) : genmove W
[2025-10-06 02:00:25.972] <Wally>   (out) : = J9
[2025-10-06 02:00:25.972] <Wally>   (out) : 
[2025-10-06 02:00:25.980] <Wally>   (err) : capture move C9
[2025-10-06 02:00:25.981] <Wally>   (err) : save move: C9
[2025-10-06 02:00:25.981] <Wally>   (err) : defend move: XX
[2025-10-06 02:00:25.981] <Wally>   (err) : surround move: J9
[2025-10-06 02:00:25.981] <Wally>   (err) : best move J9
[2025-10-06 02:00:34.621] <Wally>    (in) : showboard
[2025-10-06 02:00:34.627] <Wally>   (out) : =
[2025-10-06 02:00:34.627] <Wally>   (out) :   9  . . . . . ○ . ● ○   
[2025-10-06 02:00:34.628] <Wally>   (out) :   8  . . ○ ○ ○ ○ ○ ○ ●   
[2025-10-06 02:00:34.628] <Wally>   (out) :   7  . . ○ ○ . ● ● ○ .   
[2025-10-06 02:00:34.628] <Wally>   (out) :   6  . ○ . ● ○ ○ ○ ○ ●   
[2025-10-06 02:00:34.628] <Wally>   (out) :   5  . ● ○ ○ ● ● ○ ○ ●   
[2025-10-06 02:00:34.628] <Wally>   (out) :   4  . ○ ● ● ● ○ . ○ ●   
[2025-10-06 02:00:34.628] <Wally>   (out) :   3  ○ ● . ○ ○ ● ● . .   
[2025-10-06 02:00:34.628] <Wally>   (out) :   2  ○ ○ ● ● ● . . ● .   
[2025-10-06 02:00:34.628] <Wally>   (out) :   1  ○ ○ ● ● ● ● ● . .   
[2025-10-06 02:00:34.628] <Wally>   (out) :                       
[2025-10-06 02:00:34.628] <Wally>   (out) :       a b c d e f g h j
[2025-10-06 02:00:34.628] <Wally>   (out) : 
[2025-10-06 02:00:40.026] <Wally>    (in) : play W A3
[2025-10-06 02:00:40.026] <Wally>    (in) : play W A2
[2025-10-06 02:00:40.026] <Wally>    (in) : play W A1
[2025-10-06 02:00:40.027] <Wally>    (in) : play W B6
[2025-10-06 02:00:40.027] <Wally>    (in) : play B B5
[2025-10-06 02:00:40.027] <Wally>    (in) : play W B4
[2025-10-06 02:00:40.027] <Wally>    (in) : play B B3
[2025-10-06 02:00:40.028] <Wally>    (in) : play W B2
[2025-10-06 02:00:40.028] <Wally>    (in) : play W B1
[2025-10-06 02:00:40.028] <Wally>    (in) : play W C8
[2025-10-06 02:00:40.028] <Wally>    (in) : play W C7
[2025-10-06 02:00:40.028] <Wally>    (in) : play W C5
[2025-10-06 02:00:40.028] <Wally>    (in) : play B C4
[2025-10-06 02:00:40.029] <Wally>    (in) : play B C2
[2025-10-06 02:00:40.029] <Wally>    (in) : play B C1
[2025-10-06 02:00:40.029] <Wally>    (in) : play B D9
[2025-10-06 02:00:40.030] <Wally>    (in) : play W D8
[2025-10-06 02:00:40.030] <Wally>    (in) : play W D7
[2025-10-06 02:00:40.030] <Wally>    (in) : play B D6
[2025-10-06 02:00:40.030] <Wally>    (in) : play W D5
[2025-10-06 02:00:40.030] <Wally>    (in) : play B D4
[2025-10-06 02:00:40.030] <Wally>    (in) : play W D3
[2025-10-06 02:00:40.031] <Wally>    (in) : play B D2
[2025-10-06 02:00:40.031] <Wally>    (in) : play B D1
[2025-10-06 02:00:40.031] <Wally>    (in) : play B E9
[2025-10-06 02:00:40.031] <Wally>    (in) : play W E8
[2025-10-06 02:00:40.031] <Wally>    (in) : play W E6
[2025-10-06 02:00:40.031] <Wally>    (in) : play B E5
[2025-10-06 02:00:40.032] <Wally>    (in) : play B E4
[2025-10-06 02:00:40.032] <Wally>    (in) : play W E3
[2025-10-06 02:00:40.032] <Wally>    (in) : play B E2
[2025-10-06 02:00:40.032] <Wally>    (in) : play B E1
[2025-10-06 02:00:40.032] <Wally>    (in) : play W F9
[2025-10-06 02:00:40.032] <Wally>    (in) : play W F8
[2025-10-06 02:00:40.033] <Wally>    (in) : play B F7
[2025-10-06 02:00:40.033] <Wally>    (in) : play W F6
[2025-10-06 02:00:40.033] <Wally>    (in) : play B F5
[2025-10-06 02:00:40.033] <Wally>    (in) : play W F4
[2025-10-06 02:00:40.033] <Wally>    (in) : play B F3
[2025-10-06 02:00:40.033] <Wally>    (in) : play B F1
[2025-10-06 02:00:40.034] <Wally>    (in) : play W G8
[2025-10-06 02:00:40.034] <Wally>    (in) : play B G7
[2025-10-06 02:00:40.034] <Wally>    (in) : play W G6
[2025-10-06 02:00:40.034] <Wally>    (in) : play W G5
[2025-10-06 02:00:40.034] <Wally>    (in) : play B G3
[2025-10-06 02:00:40.034] <Wally>    (in) : play B G1
[2025-10-06 02:00:40.034] <Wally>    (in) : play B H9
[2025-10-06 02:00:40.035] <Wally>    (in) : play W H8
[2025-10-06 02:00:40.035] <Wally>    (in) : play W H7
[2025-10-06 02:00:40.035] <Wally>    (in) : play W H6
[2025-10-06 02:00:40.035] <Wally>    (in) : play W H5
[2025-10-06 02:00:40.035] <Wally>    (in) : play W H4
[2025-10-06 02:00:40.035] <Wally>    (in) : play B H2
[2025-10-06 02:00:40.036] <Wally>    (in) : play B H1
[2025-10-06 02:00:40.036] <Wally>    (in) : play B J8
[2025-10-06 02:00:40.036] <Wally>    (in) : play B J6
[2025-10-06 02:00:40.036] <Wally>    (in) : play B J5
[2025-10-06 02:00:40.036] <Wally>    (in) : play B J4
[2025-10-06 02:00:40.055] <Wally>   (out) : =
[2025-10-06 02:00:40.055] <Wally>   (out) : 
[2025-10-06 02:00:40.055] <Wally>   (out) : =
[2025-10-06 02:00:40.056] <Wally>   (out) : 
[2025-10-06 02:00:40.056] <Wally>   (out) : =
[2025-10-06 02:00:40.056] <Wally>   (out) : 
[2025-10-06 02:00:40.056] <Wally>   (out) : =
[2025-10-06 02:00:40.056] <Wally>   (out) : 
[2025-10-06 02:00:40.056] <Wally>   (out) : =
[2025-10-06 02:00:40.056] <Wally>   (out) : 
[2025-10-06 02:00:40.056] <Wally>   (out) : =
[2025-10-06 02:00:40.056] <Wally>   (out) : 
[2025-10-06 02:00:40.056] <Wally>   (out) : =
[2025-10-06 02:00:40.056] <Wally>   (out) : 
[2025-10-06 02:00:40.056] <Wally>   (out) : =
[2025-10-06 02:00:40.056] <Wally>   (out) : 
[2025-10-06 02:00:40.056] <Wally>   (out) : =
[2025-10-06 02:00:40.057] <Wally>   (out) : 
[2025-10-06 02:00:40.057] <Wally>   (out) : =
[2025-10-06 02:00:40.057] <Wally>   (out) : 
[2025-10-06 02:00:40.057] <Wally>   (out) : =
[2025-10-06 02:00:40.057] <Wally>   (out) : 
[2025-10-06 02:00:40.057] <Wally>   (out) : =
[2025-10-06 02:00:40.057] <Wally>   (out) : 
[2025-10-06 02:00:40.057] <Wally>   (out) : =
[2025-10-06 02:00:40.057] <Wally>   (out) : 
[2025-10-06 02:00:40.057] <Wally>   (out) : =
[2025-10-06 02:00:40.057] <Wally>   (out) : 
[2025-10-06 02:00:40.057] <Wally>   (out) : =
[2025-10-06 02:00:40.057] <Wally>   (out) : 
[2025-10-06 02:00:40.057] <Wally>   (out) : =
[2025-10-06 02:00:40.057] <Wally>   (out) : 
[2025-10-06 02:00:40.059] <Wally>   (out) : =
[2025-10-06 02:00:40.059] <Wally>   (out) : 
[2025-10-06 02:00:40.059] <Wally>   (out) : =
[2025-10-06 02:00:40.059] <Wally>   (out) : 
[2025-10-06 02:00:40.059] <Wally>   (out) : =
[2025-10-06 02:00:40.059] <Wally>   (out) : 
[2025-10-06 02:00:40.059] <Wally>   (out) : =
[2025-10-06 02:00:40.059] <Wally>   (out) : 
[2025-10-06 02:00:40.059] <Wally>   (out) : =
[2025-10-06 02:00:40.059] <Wally>   (out) : 
[2025-10-06 02:00:40.059] <Wally>   (out) : =
[2025-10-06 02:00:40.059] <Wally>   (out) : 
[2025-10-06 02:00:40.060] <Wally>   (out) : =
[2025-10-06 02:00:40.060] <Wally>   (out) : 
[2025-10-06 02:00:40.060] <Wally>   (out) : =
[2025-10-06 02:00:40.060] <Wally>   (out) : 
[2025-10-06 02:00:40.060] <Wally>   (out) : =
[2025-10-06 02:00:40.060] <Wally>   (out) : 
[2025-10-06 02:00:40.060] <Wally>   (out) : =
[2025-10-06 02:00:40.060] <Wally>   (out) : 
[2025-10-06 02:00:40.060] <Wally>   (out) : =
[2025-10-06 02:00:40.060] <Wally>   (out) : 
[2025-10-06 02:00:40.060] <Wally>   (out) : =
[2025-10-06 02:00:40.060] <Wally>   (out) : 
[2025-10-06 02:00:40.060] <Wally>   (out) : =
[2025-10-06 02:00:40.060] <Wally>   (out) : 
[2025-10-06 02:00:40.061] <Wally>   (out) : =
[2025-10-06 02:00:40.061] <Wally>   (out) : 
[2025-10-06 02:00:40.061] <Wally>   (out) : =
[2025-10-06 02:00:40.061] <Wally>   (out) : 
[2025-10-06 02:00:40.061] <Wally>   (out) : =
[2025-10-06 02:00:40.061] <Wally>   (out) : 
[2025-10-06 02:00:40.061] <Wally>   (out) : =
[2025-10-06 02:00:40.061] <Wally>   (out) : 
[2025-10-06 02:00:40.061] <Wally>   (out) : =
[2025-10-06 02:00:40.061] <Wally>   (out) : 
[2025-10-06 02:00:40.061] <Wally>   (out) : =
[2025-10-06 02:00:40.061] <Wally>   (out) : 
[2025-10-06 02:00:40.061] <Wally>   (out) : =
[2025-10-06 02:00:40.061] <Wally>   (out) : 
[2025-10-06 02:00:40.061] <Wally>   (out) : =
[2025-10-06 02:00:40.062] <Wally>   (out) : 
[2025-10-06 02:00:40.062] <Wally>   (out) : =
[2025-10-06 02:00:40.062] <Wally>   (out) : 
[2025-10-06 02:00:40.062] <Wally>   (out) : =
[2025-10-06 02:00:40.062] <Wally>   (out) : 
[2025-10-06 02:00:40.062] <Wally>   (out) : =
[2025-10-06 02:00:40.062] <Wally>   (out) : 
[2025-10-06 02:00:40.062] <Wally>   (out) : =
[2025-10-06 02:00:40.062] <Wally>   (out) : 
[2025-10-06 02:00:40.062] <Wally>   (out) : =
[2025-10-06 02:00:40.062] <Wally>   (out) : 
[2025-10-06 02:00:40.062] <Wally>   (out) : =
[2025-10-06 02:00:40.062] <Wally>   (out) : 
[2025-10-06 02:00:40.062] <Wally>   (out) : =
[2025-10-06 02:00:40.062] <Wally>   (out) : 
[2025-10-06 02:00:40.062] <Wally>   (out) : =
[2025-10-06 02:00:40.063] <Wally>   (out) : 
[2025-10-06 02:00:40.063] <Wally>   (out) : =
[2025-10-06 02:00:40.063] <Wally>   (out) : 
[2025-10-06 02:00:40.063] <Wally>   (out) : =
[2025-10-06 02:00:40.063] <Wally>   (out) : 
[2025-10-06 02:00:40.063] <Wally>   (out) : =
[2025-10-06 02:00:40.063] <Wally>   (out) : 
[2025-10-06 02:00:40.063] <Wally>   (out) : =
[2025-10-06 02:00:40.063] <Wally>   (out) : 
[2025-10-06 02:00:40.063] <Wally>   (out) : =
[2025-10-06 02:00:40.063] <Wally>   (out) : 
[2025-10-06 02:00:40.063] <Wally>   (out) : =
[2025-10-06 02:00:40.063] <Wally>   (out) : 
[2025-10-06 02:00:40.063] <Wally>   (out) : =
[2025-10-06 02:00:40.063] <Wally>   (out) : 
[2025-10-06 02:00:40.063] <Wally>   (out) : =
[2025-10-06 02:00:40.063] <Wally>   (out) : 
[2025-10-06 02:00:40.064] <Wally>   (out) : =
[2025-10-06 02:00:40.064] <Wally>   (out) : 
[2025-10-06 02:00:40.064] <Wally>   (out) : =
[2025-10-06 02:00:40.064] <Wally>   (out) : 
[2025-10-06 02:00:40.064] <Wally>   (out) : =
[2025-10-06 02:00:40.064] <Wally>   (out) : 
[2025-10-06 02:00:40.064] <Wally>   (out) : =
[2025-10-06 02:00:40.064] <Wally>   (out) : 
[2025-10-06 02:00:40.064] <Wally>   (out) : =
[2025-10-06 02:00:40.064] <Wally>   (out) : 
[2025-10-06 02:00:40.075] <Wally>    (in) : genmove W
[2025-10-06 02:00:40.086] <Wally>   (out) : = J9
[2025-10-06 02:00:40.087] <Wally>   (out) : 
[2025-10-06 02:00:40.103] <Wally>   (err) : capture move C9
[2025-10-06 02:00:40.103] <Wally>   (err) : save move: C9
[2025-10-06 02:00:40.104] <Wally>   (err) : defend move: XX
[2025-10-06 02:00:40.104] <Wally>   (err) : surround move: J9
[2025-10-06 02:00:40.104] <Wally>   (err) : best move J9
[2025-10-06 02:00:40.653] <Wally>    (in) : play W A3
[2025-10-06 02:00:40.653] <Wally>    (in) : play W A2
[2025-10-06 02:00:40.653] <Wally>    (in) : play W A1
[2025-10-06 02:00:40.654] <Wally>    (in) : play W B6
[2025-10-06 02:00:40.654] <Wally>    (in) : play B B5
[2025-10-06 02:00:40.654] <Wally>    (in) : play W B4
[2025-10-06 02:00:40.654] <Wally>    (in) : play B B3
[2025-10-06 02:00:40.654] <Wally>    (in) : play W B2
[2025-10-06 02:00:40.654] <Wally>    (in) : play W B1
[2025-10-06 02:00:40.655] <Wally>    (in) : play W C8
[2025-10-06 02:00:40.655] <Wally>    (in) : play W C7
[2025-10-06 02:00:40.655] <Wally>    (in) : play W C5
[2025-10-06 02:00:40.655] <Wally>    (in) : play B C4
[2025-10-06 02:00:40.655] <Wally>    (in) : play B C2
[2025-10-06 02:00:40.655] <Wally>    (in) : play B C1
[2025-10-06 02:00:40.656] <Wally>    (in) : play B D9
[2025-10-06 02:00:40.656] <Wally>    (in) : play W D8
[2025-10-06 02:00:40.656] <Wally>    (in) : play W D7
[2025-10-06 02:00:40.656] <Wally>    (in) : play B D6
[2025-10-06 02:00:40.656] <Wally>    (in) : play W D5
[2025-10-06 02:00:40.656] <Wally>    (in) : play B D4
[2025-10-06 02:00:40.656] <Wally>    (in) : play W D3
[2025-10-06 02:00:40.656] <Wally>    (in) : play B D2
[2025-10-06 02:00:40.657] <Wally>    (in) : play B D1
[2025-10-06 02:00:40.657] <Wally>    (in) : play B E9
[2025-10-06 02:00:40.657] <Wally>    (in) : play W E8
[2025-10-06 02:00:40.657] <Wally>    (in) : play W E6
[2025-10-06 02:00:40.657] <Wally>    (in) : play B E5
[2025-10-06 02:00:40.657] <Wally>    (in) : play B E4
[2025-10-06 02:00:40.657] <Wally>    (in) : play W E3
[2025-10-06 02:00:40.657] <Wally>    (in) : play B E2
[2025-10-06 02:00:40.658] <Wally>    (in) : play B E1
[2025-10-06 02:00:40.658] <Wally>    (in) : play W F9
[2025-10-06 02:00:40.658] <Wally>    (in) : play W F8
[2025-10-06 02:00:40.658] <Wally>    (in) : play B F7
[2025-10-06 02:00:40.658] <Wally>    (in) : play W F6
[2025-10-06 02:00:40.658] <Wally>    (in) : play B F5
[2025-10-06 02:00:40.658] <Wally>    (in) : play W F4
[2025-10-06 02:00:40.658] <Wally>    (in) : play B F3
[2025-10-06 02:00:40.659] <Wally>    (in) : play B F1
[2025-10-06 02:00:40.659] <Wally>    (in) : play W G8
[2025-10-06 02:00:40.659] <Wally>    (in) : play B G7
[2025-10-06 02:00:40.659] <Wally>    (in) : play W G6
[2025-10-06 02:00:40.659] <Wally>    (in) : play W G5
[2025-10-06 02:00:40.659] <Wally>    (in) : play B G3
[2025-10-06 02:00:40.659] <Wally>    (in) : play B G1
[2025-10-06 02:00:40.660] <Wally>    (in) : play B H9
[2025-10-06 02:00:40.660] <Wally>    (in) : play W H8
[2025-10-06 02:00:40.660] <Wally>    (in) : play W H7
[2025-10-06 02:00:40.660] <Wally>    (in) : play W H6
[2025-10-06 02:00:40.660] <Wally>    (in) : play W H5
[2025-10-06 02:00:40.660] <Wally>    (in) : play W H4
[2025-10-06 02:00:40.660] <Wally>    (in) : play B H2
[2025-10-06 02:00:40.661] <Wally>    (in) : play B H1
[2025-10-06 02:00:40.661] <Wally>    (in) : play B J8
[2025-10-06 02:00:40.661] <Wally>    (in) : play B J6
[2025-10-06 02:00:40.661] <Wally>    (in) : play B J5
[2025-10-06 02:00:40.661] <Wally>    (in) : play B J4
[2025-10-06 02:00:40.661] <Wally>    (in) : play B J1
[2025-10-06 02:00:40.677] <Wally>   (out) : =
[2025-10-06 02:00:40.677] <Wally>   (out) : 
[2025-10-06 02:00:40.677] <Wally>   (out) : =
[2025-10-06 02:00:40.677] <Wally>   (out) : 
[2025-10-06 02:00:40.677] <Wally>   (out) : =
[2025-10-06 02:00:40.678] <Wally>   (out) : 
[2025-10-06 02:00:40.678] <Wally>   (out) : =
[2025-10-06 02:00:40.678] <Wally>   (out) : 
[2025-10-06 02:00:40.678] <Wally>   (out) : =
[2025-10-06 02:00:40.678] <Wally>   (out) : 
[2025-10-06 02:00:40.678] <Wally>   (out) : =
[2025-10-06 02:00:40.678] <Wally>   (out) : 
[2025-10-06 02:00:40.678] <Wally>   (out) : =
[2025-10-06 02:00:40.678] <Wally>   (out) : 
[2025-10-06 02:00:40.678] <Wally>   (out) : =
[2025-10-06 02:00:40.678] <Wally>   (out) : 
[2025-10-06 02:00:40.678] <Wally>   (out) : =
[2025-10-06 02:00:40.679] <Wally>   (out) : 
[2025-10-06 02:00:40.679] <Wally>   (out) : =
[2025-10-06 02:00:40.679] <Wally>   (out) : 
[2025-10-06 02:00:40.679] <Wally>   (out) : =
[2025-10-06 02:00:40.679] <Wally>   (out) : 
[2025-10-06 02:00:40.679] <Wally>   (out) : =
[2025-10-06 02:00:40.679] <Wally>   (out) : 
[2025-10-06 02:00:40.679] <Wally>   (out) : =
[2025-10-06 02:00:40.679] <Wally>   (out) : 
[2025-10-06 02:00:40.679] <Wally>   (out) : =
[2025-10-06 02:00:40.679] <Wally>   (out) : 
[2025-10-06 02:00:40.680] <Wally>   (out) : =
[2025-10-06 02:00:40.680] <Wally>   (out) : 
[2025-10-06 02:00:40.680] <Wally>   (out) : =
[2025-10-06 02:00:40.680] <Wally>   (out) : 
[2025-10-06 02:00:40.680] <Wally>   (out) : =
[2025-10-06 02:00:40.680] <Wally>   (out) : 
[2025-10-06 02:00:40.680] <Wally>   (out) : =
[2025-10-06 02:00:40.680] <Wally>   (out) : 
[2025-10-06 02:00:40.680] <Wally>   (out) : =
[2025-10-06 02:00:40.680] <Wally>   (out) : 
[2025-10-06 02:00:40.680] <Wally>   (out) : =
[2025-10-06 02:00:40.680] <Wally>   (out) : 
[2025-10-06 02:00:40.681] <Wally>   (out) : =
[2025-10-06 02:00:40.682] <Wally>   (out) : 
[2025-10-06 02:00:40.682] <Wally>   (out) : =
[2025-10-06 02:00:40.682] <Wally>   (out) : 
[2025-10-06 02:00:40.682] <Wally>   (out) : =
[2025-10-06 02:00:40.682] <Wally>   (out) : 
[2025-10-06 02:00:40.682] <Wally>   (out) : =
[2025-10-06 02:00:40.682] <Wally>   (out) : 
[2025-10-06 02:00:40.682] <Wally>   (out) : =
[2025-10-06 02:00:40.682] <Wally>   (out) : 
[2025-10-06 02:00:40.682] <Wally>   (out) : =
[2025-10-06 02:00:40.682] <Wally>   (out) : 
[2025-10-06 02:00:40.682] <Wally>   (out) : =
[2025-10-06 02:00:40.682] <Wally>   (out) : 
[2025-10-06 02:00:40.683] <Wally>   (out) : =
[2025-10-06 02:00:40.683] <Wally>   (out) : 
[2025-10-06 02:00:40.683] <Wally>   (out) : =
[2025-10-06 02:00:40.683] <Wally>   (out) : 
[2025-10-06 02:00:40.683] <Wally>   (out) : =
[2025-10-06 02:00:40.683] <Wally>   (out) : 
[2025-10-06 02:00:40.684] <Wally>   (out) : =
[2025-10-06 02:00:40.684] <Wally>   (out) : 
[2025-10-06 02:00:40.684] <Wally>   (out) : =
[2025-10-06 02:00:40.684] <Wally>   (out) : 
